1,Jelly,Belly,jb@here.com,
2,Grinch,Theron,gtheron@grinchy.net,
3,Davey,Jones,d.Jones@aol.com,808-345-4444
4,Rakiesha,Jenkins,rj@hotmail.com,888-999-8766
5,Charlize,Theron,CharlieT@me.com,867-5309
6,Android,18,none,
7,ChiChi,San,none,
8,Bulma,Enchanto,capsulecorp@outlook.com,800-999-0000
9,Arale,Chan,none,
10,Hermoine,Grainger,Grainger@me.com,867-5309
11,Harry,Potter,Hpotter@live.com,
12,Ronald,Weasley,gingerMr@gmail.com,
13,Neville,LongBottom,none,
14,Draco,Malfoy,none,
15,Groot,Sinister,none,
16,MadEye,Moody,moodymomo@hotmail.com,
17,Bellatrix,LeStrange,none,
18,Mary,Sanderson,you@me.com,867-5309
19,Sarah,Sanderson,,
20,Winnifred,Sanderson,,
21,first,last,you@me.com,867-5309
